address,is_contract,is_eligible,wallet_balance,sablier_claimable,gauge_claimable,auction_claimable,echo_balance,total_calculated_cove_balance
0x99d5a75dd2866b61b4404a41359731806ea95780,false,true,42269.518786675513972789,0,0,0,0,42269.518786675513972789
0xec85b265c130abbc0d7342fbc3585d5e0611b7e3,false,true,41777.323849736454711039,0,0,0,0,41777.323849736454711039
0xea9991acee7d9d56f591947177d1bcd23a8f894a,true,true,40966.742084170732050917,0,0,0,0,40966.742084170732050917
0x76867e1eac6a3ccd29ea81eff4a713067bc386b5,false,true,0,0,40001.661464576263978527,0,0,40001.661464576263978527
0x0fc59c9c998537c940a9dfc7dacde533a9c496fe,false,true,0,0,39006.859665387327245515,0,0,39006.859665387327245515
0xf4e7ff66fd3d1c33b3020ffa575c33cb2968082d,true,false,38852.697415810290644836,0,0,0,0,38852.697415810290644836
0xc1c1fdadd3f76ff4e34f6f3f0b00f4db9b539a8f,false,true,38523.98674761273908573,0,0,0,0,38523.98674761273908573
0x69be08e37274f9d321e00c7e19cc0e96fbb70d23,false,true,0,0,35945.233779299875601872,0,0,35945.233779299875601872
0x9f80ab805e4a0f66d0a73c4337fd4e2d60b678d5,false,true,35116.652718769097263161,0,0,0,0,35116.652718769097263161
0xee620a0991d57f464aad452789a4564ba51245e8,false,true,34518.559915326240602404,0,0,0,0,34518.559915326240602404
0x0d146f543a11d8a1753a7bb42ae556915796dbbb,false,true,33472.542948195142402331,0,0,0,0,33472.542948195142402331
0x7c6accd51cbbdd53354de581841803b4f79d48e7,true,true,31485.868447745400213259,0,0,0,0,31485.868447745400213259
0xf9107317b0ff77ed5b7adea15e50514a3564002b,false,true,0,0,0,31380.509013932946002186,0,31380.509013932946002186
0x007273f8d16de01747b10c57ee7a7d99fff30bbb,false,true,29727.16004229001,0,0,0,0,29727.16004229001
0xd3e0be9c7f600f1a55f4e8f46c247b383f22a442,false,true,29339.024517006778136092,0,0,0,0,29339.024517006778136092
0x0d79c051f29843a09bb035c9f7d14e2a8d3662f8,false,true,29288.47507967074960204,0,0,0,0,29288.47507967074960204
0xed08b03baeab9eef24f8aaa7c752f34a3264992e,true,false,27148.555977169062362256,0,0,0,0,27148.555977169062362256
0x84c51f3634e80c1552bddaeabedf24608d5aa091,false,true,24697.236937099968779861,0,0,0,0,24697.236937099968779861
0xa01d4dcfaba20214258c5956660fc63f1cab8bf3,false,true,24484.456561994342467426,0,0,0,0,24484.456561994342467426
0xeec9a853ab6270ec0dbc333c1eb4b59a4b9e4d82,false,true,7040.763837124842386917,0,15860.96970489248161219,0,0,22901.733542017323999107
0x1eb1d7fec395748cff0e437f4b3e8a850550987d,true,false,22863.655240513857078133,0,0,0,0,22863.655240513857078133
0x0d5145df2e3fbce8a03ccc3486960d469b2f7698,false,true,22554.7586286751455,0,0,0,0,22554.7586286751455
0xc4671ae26df345b391a270920f324b089bb8d0c5,false,true,21972.021622043548569883,0,0,0,0,21972.021622043548569883
0x98b69d0b81fb1966ebe0af76789425706e5afe7b,false,true,103.957853389285229468,0,7979.72349902465907717,12552.203605573178400874,0,20635.884957987122707512
0xc257145b1337717177686826ae65404d8580b181,false,true,20534.132623653463,0,0,0,0,20534.132623653463
0xb3f09f6d5d1d22579383e56123b7c360f343e255,false,true,0,0,20001.148342761566154101,0,0,20001.148342761566154101
0x318098f509d52c2f528112126387b6d7b1b96a91,false,true,19959.307211622651606104,0,0.181733259356944945,0,0,19959.488944882008551049
0x34cd8a21e92b0abd558ff02d6cc7a9e12daf0ff1,false,true,19019.974597546392099391,0,0,0,0,19019.974597546392099391
